Algorithm,Run,OriginalSize,CompressedSize,CompressionTime(ns),DecompressionTime(ns),CompressionRatio(%),CompressionSavings(%),CompressionSpeedRatio(Perc/ms),Correctness
LZ77,5,94,282,2243300,1028900,300.00,-200.00,0.0001,Pass
LZ77,6,94,282,2175000,1034499,300.00,-200.00,0.0001,Pass
LZ77,7,94,282,2193000,1047700,300.00,-200.00,0.0001,Pass
LZ77,8,94,282,2213199,1539600,300.00,-200.00,0.0001,Pass
LZ77,9,94,282,2523400,1046000,300.00,-200.00,0.0001,Pass
LZ77,10,94,282,2251700,1035400,300.00,-200.00,0.0001,Pass
LZ77,11,94,282,2165600,1128300,300.00,-200.00,0.0001,Pass
LZ77,12,94,282,2239701,1032300,300.00,-200.00,0.0001,Pass
LZ77,13,94,282,2290199,1035899,300.00,-200.00,0.0001,Pass
LZ77,14,94,282,2183999,1104600,300.00,-200.00,0.0001,Pass
LZ77,15,94,282,2335500,1034001,300.00,-200.00,0.0001,Pass
LZ77,16,94,282,2219400,1013499,300.00,-200.00,0.0001,Pass
LZ77,17,94,282,2215199,1032500,300.00,-200.00,0.0001,Pass
LZ77,18,94,282,2193099,1063200,300.00,-200.00,0.0001,Pass
LZ77,19,94,282,2185100,1013800,300.00,-200.00,0.0001,Pass
LZ77,20,94,282,2173100,1026599,300.00,-200.00,0.0001,Pass
LZ77,21,94,282,2211300,1006399,300.00,-200.00,0.0001,Pass
LZ77,22,94,282,2182800,1059800,300.00,-200.00,0.0001,Pass
LZ77,23,94,282,2200499,1010000,300.00,-200.00,0.0001,Pass
LZ77,24,94,282,2195099,1016200,300.00,-200.00,0.0001,Pass
LZ77,25,94,282,2192301,1012300,300.00,-200.00,0.0001,Pass
LZ77,26,94,282,2226800,1021300,300.00,-200.00,0.0001,Pass
LZ77,27,94,282,2187999,1032000,300.00,-200.00,0.0001,Pass
LZ77,28,94,282,2264900,1004700,300.00,-200.00,0.0001,Pass
LZ77,29,94,282,2226300,994801,300.00,-200.00,0.0001,Pass
LZ77,30,94,282,2163301,977900,300.00,-200.00,0.0001,Pass
LZ77,31,94,282,2177701,994900,300.00,-200.00,0.0001,Pass
LZ77,32,94,282,2162200,997400,300.00,-200.00,0.0001,Pass
LZ77,33,94,282,2174699,998199,300.00,-200.00,0.0001,Pass
LZ77,34,94,282,2190001,1015801,300.00,-200.00,0.0001,Pass
LZ77,35,94,282,2100900,1005901,300.00,-200.00,0.0001,Pass
LZ77,36,94,282,2174700,1080001,300.00,-200.00,0.0001,Pass
LZ77,37,94,282,2274601,1161400,300.00,-200.00,0.0001,Pass
LZ77,38,94,282,2158201,995500,300.00,-200.00,0.0001,Pass
LZ77,39,94,282,2167700,1015700,300.00,-200.00,0.0001,Pass
LZ77,40,94,282,2155800,1069500,300.00,-200.00,0.0001,Pass
LZ77,41,94,282,2157001,983301,300.00,-200.00,0.0001,Pass
LZ77,42,94,282,2294900,998400,300.00,-200.00,0.0001,Pass
LZ77,43,94,282,2148300,1644299,300.00,-200.00,0.0001,Pass
LZ77,44,94,282,2096900,1056400,300.00,-200.00,0.0001,Pass
LZ77,45,94,282,2179300,1016900,300.00,-200.00,0.0001,Pass
LZ77,46,94,282,2112400,1001600,300.00,-200.00,0.0001,Pass
LZ77,47,94,282,2218300,998901,300.00,-200.00,0.0001,Pass
LZ77,48,94,282,2193000,1149801,300.00,-200.00,0.0001,Pass
LZ77,49,94,282,2133100,982400,300.00,-200.00,0.0001,Pass
LZ77,50,94,282,2393501,1023500,300.00,-200.00,0.0001,Pass
